id_accident,jour,mois,annee,heure_minute,luminosite,meteo,type_collision,departement,commune,agglomeration,categorie_route,regime_circulation,profil_route,etat_surface
202300000001,7,5,2023,06:00,1,2,7,75,75101,2,4,1,1,2
202300000001,7,5,2023,06:00,1,2,7,75,75101,2,4,1,1,2
202300000002,7,5,2023,05:30,5,3,6,94,94080,2,3,2,1,2
202300000003,7,5,2023,20:50,1,2,1,94,94022,2,3,2,1,2
202300000003,7,5,2023,20:50,1,2,1,94,94022,2,3,2,1,2
202300000004,6,5,2023,23:57,5,3,5,94,94078,2,2,2,1,2
202300000005,7,5,2023,00:50,5,3,3,94,94068,2,4,1,1,2
202300000005,7,5,2023,00:50,5,3,3,94,94068,2,4,2,1,2
202300000006,7,5,2023,18:10,1,2,6,94,94058,2,4,1,1,2
202300000007,7,5,2023,18:45,1,2,4,94,94076,2,3,2,1,2
202300000008,7,5,2023,17:20,1,3,1,94,94011,2,3,3,1,2
202300000008,7,5,2023,17:20,1,3,1,94,94011,2,3,2,1,2
202300000009,7,5,2023,18:50,1,8,3,94,94022,2,3,3,1,2
202300000009,7,5,2023,18:50,1,8,3,94,94022,2,3,1,1,1
202300000010,7,5,2023,18:20,1,2,6,94,94079,2,3,2,1,2
202300000011,7,5,2023,12:15,1,2,3,95,95527,1,1,1,1,2
202300000012,6,5,2023,11:15,1,8,3,93,93051,2,1,1,2,1
202300000012,6,5,2023,11:15,1,8,3,93,93051,2,1,4,2,1
202300000013,7,5,2023,20:10,1,2,2,93,93030,2,3,2,2,2
202300000014,7,5,2023,10:30,1,1,6,93,93013,2,3,1,1,2
202300000015,7,5,2023,19:15,1,2,2,93,93010,2,3,3,1,2
202300000016,7,5,2023,01:56,5,3,3,92,92050,2,3,2,2,2
202300000016,7,5,2023,01:56,5,3,3,92,92050,2,3,1,2,2
202300000017,7,5,2023,21:40,5,2,3,92,92007,2,3,2,1,2
202300000018,7,5,2023,12:10,1,3,1,01,01383,1,3,2,3,2
202300000018,7,5,2023,12:10,1,3,1,01,01383,1,3,2,1,2
202300000019,8,5,2023,12:35,1,1,6,38,38378,2,3,2,1,1
202300000020,8,5,2023,15:10,1,1,1,91,91022,1,9,-1,1,1
202300000021,6,5,2023,14:25,1,1,2,22,22177,1,3,2,1,1
202300000022,6,5,2023,18:50,3,1,1,972,97226,1,3,2,1,1
202300000023,7,5,2023,11:00,1,1,3,974,97414,2,4,2,1,1
202300000024,7,5,2023,23:40,5,1,7,06,06095,2,3,2,2,1
202300000025,6,5,2023,10:10,1,1,3,67,67465,2,3,2,1,1
202300000026,7,5,2023,16:30,1,1,7,56,56234,1,3,2,1,1
202300000027,8,5,2023,06:00,2,1,6,2B,2B050,1,2,3,1,1
