titre,genre,editeur,date_sortie,prix_eur,gratuit,note_positive_pct,nb_avis,avis_positifs,avis_negatifs,windows,mac,linux
Storm Quest,Strategy,Capcom,2015-11-24,39.99,False,79,94,74,20,True,False,True
Neon Souls Deluxe,Racing,Paradox Interactive,2012-12-21,4.99,False,61,1761,1074,687,True,False,False
Dragon Legends V,Action,THQ Nordic,2023-07-11,24.99,False,60,382,229,153,True,True,False
Lost Hunter II Remastered,Indie,505 Games,2019-01-24,9.99,False,28,85,23,62,True,False,True
Wild Knight II,Sandbox,Indie Dev,2021-10-07,17.23,False,87,121,105,16,True,False,True
Shadow Core V,Sandbox,Capcom,2023-05-15,69.99,False,85,206,175,31,True,False,False
Cyber Hunter IV,FPS,Annapurna,2022-10-21,0.0,True,62,150,93,57,True,True,False
Final World,Horror,Focus Entertainment,2021-06-27,24.99,False,73,553,403,150,True,False,True
Brave Souls,Adventure,Capcom,2024-04-21,59.99,False,96,3512,3371,141,True,False,False
Storm World III,Strategy,Focus Entertainment,2021-12-19,9.99,False,62,119,73,46,True,False,False
Cyber Legacy III,Adventure,THQ Nordic,2012-03-21,0.0,True,67,892,597,295,True,True,False
Crystal Quest,Sports,Team17,2017-01-22,19.99,False,75,820,615,205,True,False,False
Iron Core V,Indie,Electronic Arts,2018-08-01,49.99,False,61,1869,1140,729,True,False,False
Star Dawn III,Adventure,505 Games,2021-11-17,29.99,False,70,71,49,22,True,False,True
Lost Saga,Sports,Valve,2014-05-08,9.99,False,62,588,364,224,True,True,False
Last Quest,Platformer,Team17,2022-11-16,4.99,False,91,658,598,60,True,False,True
Iron Protocol,Racing,THQ Nordic,2022-12-10,4.99,False,85,1492,1268,224,True,False,False
Cyber World Deluxe,Adventure,Bandai Namco,2011-10-08,49.99,False,95,67,63,4,True,True,False
Dark Legacy II,Sandbox,Bandai Namco,2013-05-22,49.99,False,78,1200,936,264,True,False,False
Ancient Forge,Sports,THQ Nordic,2019-02-22,0.0,True,80,50,40,10,True,False,False
Dragon Protocol,Horror,Electronic Arts,2013-02-08,59.99,False,79,1533,1211,322,True,True,False
Final Knight III,Strategy,505 Games,2024-09-04,14.99,False,71,794,563,231,True,True,False
Brave Souls II,Sandbox,Capcom,2016-08-07,69.99,False,72,861,619,242,True,False,False
Final Knight,Simulation,Annapurna,2023-05-14,14.99,False,30,430,129,301,True,False,False
