joueur,equipe,age,matchs,minutes_par_match,points,rebonds,passes,interceptions,contres,pertes_balle,pct_tir,pct_3pts,pct_lf,plus_minus,double_doubles,pct_victoires
A.J. Lawson,DAL,22.0,15,7.2,3.7,1.4,0.1,0.1,0.0,0.2,0.5,0.4,0.25,-3.1,0,0.333
AJ Green,MIL,23.0,35,9.9,4.4,1.3,0.6,0.2,0.0,0.3,0.424,0.419,1.0,-0.7,0,0.771
AJ Griffin,ATL,19.0,72,19.5,8.9,2.1,1.0,0.6,0.2,0.6,0.465,0.39,0.894,0.9,0,0.472
Aaron Gordon,DEN,27.0,68,30.2,16.3,6.6,3.0,0.8,0.8,1.4,0.564,0.347,0.608,7.6,11,0.662
Aaron Holiday,ATL,26.0,63,13.4,3.9,1.2,1.4,0.6,0.2,0.6,0.418,0.409,0.844,0.3,0,0.508
Aaron Nesmith,IND,23.0,73,24.9,10.1,3.8,1.3,0.8,0.5,1.0,0.427,0.366,0.838,-2.9,1,0.411
Aaron Wiggins,OKC,24.0,70,18.5,6.8,3.0,1.1,0.6,0.2,0.8,0.512,0.393,0.831,0.1,1,0.529
Admiral Schofield,ORL,26.0,37,12.2,4.2,1.7,0.8,0.2,0.1,0.4,0.451,0.324,0.913,-2.1,0,0.378
Al Horford,BOS,37.0,63,30.5,9.8,6.2,3.0,0.5,1.0,0.6,0.476,0.446,0.714,4.9,7,0.698
Alec Burks,DET,31.0,51,22.0,12.8,3.1,2.2,0.7,0.2,1.1,0.436,0.414,0.814,-0.1,0,0.235
Aleksej Pokusevski,OKC,21.0,34,20.6,8.1,4.7,1.9,0.6,1.3,1.3,0.434,0.365,0.629,-5.8,3,0.471
Alex Caruso,CHI,29.0,67,23.5,5.6,2.9,2.9,1.5,0.7,1.1,0.455,0.364,0.808,3.0,1,0.493
Alex Len,SAC,29.0,26,6.2,1.7,2.3,0.5,0.2,0.4,0.6,0.533,0.0,0.688,0.7,0,0.577
Alperen Sengun,HOU,20.0,75,28.9,14.8,9.0,3.9,0.9,0.9,2.6,0.553,0.333,0.715,-3.8,29,0.24
Amir Coffey,LAC,25.0,50,12.5,3.4,1.1,1.1,0.1,0.1,0.4,0.386,0.275,0.778,-2.3,0,0.52
Andre Drummond,CHI,29.0,67,12.7,6.0,6.6,0.5,0.7,0.4,1.1,0.606,0.0,0.536,0.4,8,0.478
Andrew Nembhard,IND,23.0,75,27.6,9.5,2.7,4.5,0.9,0.2,1.7,0.441,0.35,0.79,-3.5,5,0.427
Andrew Wiggins,GSW,28.0,37,32.2,17.1,5.0,2.3,1.2,0.8,1.3,0.473,0.396,0.611,3.2,3,0.514
Anfernee Simons,POR,23.0,62,35.0,21.1,2.6,4.1,0.7,0.2,2.1,0.447,0.377,0.894,-1.2,0,0.435
Anthony Davis,LAL,30.0,56,34.0,25.9,12.5,2.6,1.1,2.0,2.2,0.563,0.257,0.784,3.7,40,0.554
Anthony Edwards,MIN,21.0,79,36.0,24.6,5.8,4.4,1.6,0.7,3.3,0.459,0.369,0.756,1.2,9,0.506
Anthony Gill,WAS,30.0,59,10.6,3.3,1.7,0.6,0.1,0.2,0.3,0.538,0.138,0.731,-0.2,0,0.356
Anthony Lamb,GSW,25.0,62,19.3,6.7,3.5,1.5,0.5,0.3,0.9,0.471,0.367,0.767,0.5,0,0.581
Austin Reaves,LAL,25.0,64,28.8,13.0,3.0,3.4,0.5,0.3,1.5,0.529,0.398,0.864,3.3,1,0.547
Austin Rivers,MIN,30.0,52,19.5,4.9,1.6,1.4,0.5,0.1,0.4,0.435,0.35,0.769,-2.7,0,0.481
Ayo Dosunmu,CHI,23.0,80,26.2,8.6,2.8,2.6,0.8,0.3,1.2,0.493,0.312,0.805,-1.0,0,0.5
