date_mutation,valeur_fonciere,code_postal,type_local,surface_m2,nb_pieces,surface_terrain,arrondissement,prix_m2
04/01/2024,1042000.0,75020,Appartement,86.0,4.0,,20,12116.0
04/01/2024,299120.0,75018,Appartement,36.0,3.0,,18,8309.0
03/01/2024,426471.0,75010,Appartement,42.0,1.0,,10,10154.0
08/01/2024,778000.0,75003,Appartement,60.0,3.0,,3,12967.0
08/01/2024,778000.0,75003,Appartement,63.0,3.0,,3,12349.0
05/01/2024,630000.0,75019,Appartement,66.0,2.0,,19,9545.0
05/01/2024,173025.0,75020,Appartement,17.0,1.0,,20,10178.0
08/01/2024,170000.0,75002,Local industriel. commercial ou assimilé,14.0,0.0,,2,12143.0
03/01/2024,392000.0,75019,Appartement,40.0,2.0,,19,9800.0
03/01/2024,160000.0,75017,Appartement,22.0,2.0,,17,7273.0
03/01/2024,542000.0,75020,Maison,30.0,2.0,,20,18067.0
05/01/2024,228000.0,75018,Appartement,26.0,2.0,,18,8769.0
05/01/2024,1067000.0,75017,Appartement,130.0,6.0,,17,8208.0
04/01/2024,188219.0,75019,Appartement,28.0,2.0,,19,6722.0
04/01/2024,650000.0,75009,Local industriel. commercial ou assimilé,59.0,0.0,,9,11017.0
05/01/2024,195000.0,75017,Appartement,25.0,1.0,,17,7800.0
02/01/2024,4500000.0,75008,Appartement,162.0,3.0,,8,27778.0
03/01/2024,275000.0,75004,Appartement,10.0,1.0,,4,27500.0
04/01/2024,901200.0,75017,Appartement,75.0,3.0,,17,12016.0
03/01/2024,447000.0,75001,Appartement,33.0,2.0,,1,13545.0
08/01/2024,561000.0,75004,Appartement,43.0,2.0,,4,13047.0
08/01/2024,357745.94,75018,Appartement,10.0,1.0,,18,35775.0
10/01/2024,185000.0,75018,Appartement,30.0,1.0,,18,6167.0
09/01/2024,555000.0,75017,Appartement,52.0,3.0,,17,10673.0
08/01/2024,500000.0,75018,Appartement,67.0,4.0,,18,7463.0
04/01/2024,431500.0,75020,Appartement,46.0,2.0,,20,9380.0
08/01/2024,1698700.0,75008,Appartement,63.0,2.0,,8,26963.0
08/01/2024,1698700.0,75008,Appartement,72.0,3.0,,8,23593.0
05/01/2024,151000.0,75020,Appartement,17.0,1.0,,20,8882.0
10/01/2024,548600.0,75017,Appartement,48.0,2.0,,17,11429.0
04/01/2024,220000.0,75018,Appartement,65.0,3.0,,18,3385.0
10/01/2024,416000.0,75010,Appartement,38.0,2.0,,10,10947.0
08/01/2024,258000.0,75018,Appartement,16.0,1.0,,18,16125.0
08/01/2024,258000.0,75018,Appartement,16.0,1.0,,18,16125.0
03/01/2024,690000.0,75003,Appartement,70.0,4.0,,3,9857.0
10/01/2024,375000.0,75018,Appartement,50.0,3.0,,18,7500.0
08/01/2024,335000.0,75018,Appartement,44.0,2.0,,18,7614.0
04/01/2024,500000.0,75009,Appartement,32.0,2.0,,9,15625.0
08/01/2024,175000.0,75010,Appartement,20.0,2.0,,10,8750.0
05/01/2024,741000.0,75003,Appartement,55.0,3.0,,3,13473.0
10/01/2024,253000.0,75020,Appartement,27.0,2.0,,20,9370.0
09/01/2024,368000.0,75010,Appartement,40.0,2.0,,10,9200.0
04/01/2024,445000.0,75019,Appartement,66.0,3.0,,19,6742.0
04/01/2024,85000.0,75010,Appartement,19.0,1.0,,10,4474.0
05/01/2024,280000.0,75004,Appartement,86.0,3.0,,4,3256.0
10/01/2024,860000.0,75017,Appartement,22.0,2.0,,17,39091.0
11/01/2024,223247.0,75018,Appartement,24.0,2.0,,18,9302.0
10/01/2024,500000.0,75018,Local industriel. commercial ou assimilé,51.0,0.0,,18,9804.0
08/01/2024,455000.0,75018,Appartement,66.0,4.0,,18,6894.0
10/01/2024,378000.0,75010,Local industriel. commercial ou assimilé,60.0,0.0,,10,6300.0
10/01/2024,378000.0,75010,Local industriel. commercial ou assimilé,46.0,0.0,,10,8217.0
09/01/2024,145000.0,75018,Appartement,18.0,1.0,,18,8056.0
08/01/2024,646500.0,75019,Appartement,69.0,3.0,,19,9370.0
