titre,artiste,popularite,date_sortie,genre,sous_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duree_ms
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,2019-06-14,pop,dance pop,0.748,0.916,-2.634,0.0583,0.102,0.0,0.0653,0.518,122.036,194754
Memories - Dillon Francis Remix,Maroon 5,67,2019-12-13,pop,dance pop,0.726,0.815,-4.969,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600
All the Time - Don Diablo Remix,Zara Larsson,70,2019-07-05,pop,dance pop,0.675,0.931,-3.432,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,2019-07-19,pop,dance pop,0.718,0.93,-3.778,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,2019-03-05,pop,dance pop,0.65,0.833,-4.672,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,2019-07-11,pop,dance pop,0.675,0.919,-5.385,0.127,0.0799,0.0,0.143,0.585,124.982,163049
Never Really Over - R3HAB Remix,Katy Perry,62,2019-07-26,pop,dance pop,0.449,0.856,-4.788,0.0623,0.187,0.0,0.176,0.152,112.648,187675
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,2019-08-29,pop,dance pop,0.542,0.903,-2.419,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,2019-06-14,pop,dance pop,0.594,0.935,-3.562,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,2019-06-20,pop,dance pop,0.642,0.818,-4.552,0.032,0.0567,0.0,0.0919,0.59,124.957,253040
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,2019-06-21,pop,dance pop,0.679,0.923,-6.5,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894
Hate Me - R3HAB Remix,Ellie Goulding,67,2019-08-16,pop,dance pop,0.437,0.774,-4.918,0.0554,0.148,0.0,0.133,0.329,123.125,203733
Body On My,Loud Luxury,67,2019-03-29,pop,dance pop,0.744,0.726,-4.675,0.0463,0.0399,0.0,0.374,0.687,121.985,192507
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,2019-05-17,pop,dance pop,0.572,0.915,-4.451,0.0625,0.0111,0.0,0.339,0.678,123.919,164516
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,2019-07-12,pop,dance pop,0.69,0.78,-4.446,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,2019-12-11,pop,dance pop,0.805,0.835,-4.603,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230
All My Friends - Eden Prince Remix,AJ Mitchell,60,2019-05-03,pop,dance pop,0.694,0.901,-4.322,0.0948,0.0702,0.0,0.427,0.368,118.051,173548
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,2018-12-28,pop,dance pop,0.678,0.747,-5.289,0.165,0.0395,0.0,0.174,0.516,120.002,189375
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,2019-03-08,pop,dance pop,0.746,0.557,-6.722,0.0542,0.103,0.0036,0.138,0.324,111.961,159404
Let It Be Me - Sondr Remix,Steve Aoki,35,2019-10-18,pop,dance pop,0.467,0.821,-5.466,0.0934,0.00791,0.000441,0.131,0.232,122.676,185366
Heaven - David Guetta & MORTEN Remix,Avicii,70,2019-08-23,pop,dance pop,0.572,0.934,-5.053,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238
All Around The World (La La La) - Marnik Remix,R3HAB,64,2019-08-23,pop,dance pop,0.708,0.913,-4.329,0.0348,0.089,0.081,0.113,0.707,135.016,170667
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,2019-05-08,pop,dance pop,0.684,0.818,-4.477,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,2019-10-25,pop,dance pop,0.732,0.85,-5.999,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,2019-05-24,pop,dance pop,0.62,0.889,-3.785,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,2019-06-21,pop,dance pop,0.675,0.76,-7.037,0.0434,0.104,0.0,0.33,0.468,124.933,172800
One Thing Right - Firebeatz Remix,Marshmello,66,2019-08-09,pop,dance pop,0.682,0.851,-7.117,0.0363,0.0146,0.000834,0.0289,0.348,126.0,192381
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,2019-02-01,pop,dance pop,0.663,0.905,-3.781,0.0511,0.0325,0.0,0.333,0.397,125.996,175000
So Am I - Toby Green Remix,Ava Max,62,2019-05-23,pop,dance pop,0.625,0.938,-3.983,0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875
When You Leave - Breathe Carolina Remix,Nikki Vianna,30,2019-04-19,pop,dance pop,0.679,0.909,-2.929,0.105,0.0334,0.0,0.269,0.819,119.885,155080
Mother - Fedde Le Grand Remix,Charlie Puth,56,2019-11-01,pop,dance pop,0.641,0.869,-4.754,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125
Signs - Eden Prince Remix,Starley,56,2018-11-30,pop,dance pop,0.702,0.814,-7.51,0.0841,0.107,3.03e-05,0.374,0.503,121.993,172000
Ruin My Life - Steve James Remix,Zara Larsson,58,2018-11-23,pop,dance pop,0.723,0.837,-6.487,0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097
Torn - KREAM Remix,Ava Max,60,2019-09-05,pop,dance pop,0.742,0.864,-5.06,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935
Quite Miss Home - Steve Void Remix,James Arthur,60,2019-11-22,pop,dance pop,0.716,0.815,-4.121,0.0533,0.108,0.0,0.163,0.351,124.975,220413
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,2019-06-21,pop,dance pop,0.748,0.831,-5.029,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273
Happier - Matt Medved Remix,Marshmello,59,2018-11-30,pop,dance pop,0.816,0.833,-5.972,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,170164
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,2018-07-25,pop,dance pop,0.633,0.854,-4.046,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,2019-07-12,pop,dance pop,0.563,0.81,-2.921,0.0522,0.00522,0.0,0.0846,0.495,129.975,247385
